V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
235	317	260	158	355	336	289	7	223	256	258	112	253	283	82
10	23	178	98	266	126	43	145	159	136	113	337	370	369	163
80	313	146	18	340	202	40	260	78	261	373	243	289	79	148
374	178	108	262	155	136	22	232	134	97	116	29	160	170	351
401	232	84	336	285	132	186	333	250	158	318	122	309	295	227
228	218	394	339	219	6	9	334	11	311	147	126	8	167	36
185	92	259	255	3	53	329	74	276	361	307	15	196	60	220
357	94	85	165	35	65	178	194	149	395	141	144	103	164	260
210	129	15	17	247	112	228	342	148	314	68	178	315	303	384
4	200	207	201	15	178	228	195	69	385	147	354	270	54	203
228	149	52	351	56	129	229	380	177	201	251	82	207	322	172
36	103	41	111	72	165	283	116	9	12	233	309	355	113	395
309	50	102	359	276	24	256	346	116	403	213	140	82	156	394
102	2	302	256	331	160	371	115	367	330	284	280	130	51	192
129	366	105	219	403	47	23	275	289	209	65	175	146	107	189
335	231	355	354	206	361	61	226	312	237	183	55	25	179	263
265	58	316	168	163	330	15	71	403	146	264	137	371	355	184
279	324	115	229	198	180	358	139	92	66	257	281	294	317	155
171	402	381	103	59	373	241	189	348	273	219	318	393	128	105
280	223	19	77	320	169	335	211	96	90	147	232	78	74	302
334	93	126	392	84	133	12	383	189	368	386	402	18	60	322
254	357	245	259	314	136	154	371	30	199	52	367	201	384	117
231	224	342	314	50	355	173	164	165	162	127	216	389	368	140
138	196	328	190	293	188	9	384	367	141	57	132	50	339	217
208	153	334	367	10	53	352	368	150	34	380	252	323	79	186
283	90	356	278	192	161	209	373	73	385	23	337	159	206	339
10	237	27	65	46	395	338	193	205	21	260	229	95	384	83
26	87	90	91	4	267	48	151	204	379	287	173	13	251	62
308	77	187	105	157	399	291	226	9	317	217	148	152	254	15
45	327	281	243	81	11	334	308	10	283	2	276	307	325	112
16	312	99	247	217	268	58	73	41	358	359	65	15	4	261
101	212	150	351	94	199	401	365	319	205	52	35	281	240	227
156	165	204	92	277	294	200	304	34	291	322	310	191	329	386
191	255	2	246	364	56	136	299	348	359	52	319	335	268	118
213	403	401	209	263	61	148	115	273	66	128	173	251	232	223
366	21	168	145	336	300	235	115	359	186	144	380	378	288	401
204	235	21	347	256	205	50	396	200	259	43	149	262	331	301
396	303	314	147	7	375	38	362	358	292	206	372	302	174	32
393	45	80	273	142	345	276	379	214	246	99	75	191	159	312
62	30	80	227	177	93	308	12	240	293	377	318	104	161	41
233	239	200	150	216	195	175	137	8	184	231	296	339	253	59
383	270	215	24	3	138	78	30	95	98	353	136	37	44	334
240	41	274	243	57	299	86	42	189	97	380	203	361	309	235
67	15	217	204	55	311	260	206	365	177	92	366	245	181	138
176	247	42	254	351	34	10	283	320	86	78	158	367	167	189
185	160	243	154	169	285	65	50	151	309	116	228	111	297	295
142	292	358	370	257	188	195	334	44	287	221	251	303	48	395
218	192	252	75	307	164	61	73	196	265	84	161	107	31	67
35	287	23	91	18	338	351	72	272	263	305	209	37	101	308
226	12	170	341	5	159	50	190	332	347	375	168	358	34	350
112	307	293	156	314	80	298	32	155	1	79	252	109	256	92
391	218	173	122	56	263	203	389	241	358	251	295	3	32	352
401	66	184	255	320	285	248	83	98	149	141	135	294	158	35
92	375	79	192	97	366	345	294	313	22	314	69	403	9	359
341	392	47	239	120	176	363	247	28	53	119	83	387	8	240
126	30	194	64	67	91	212	325	72	113	381	98	341	147	290
14	323	93	229	247	339	395	187	223	143	7	76	18	176	283
131	335	219	323	113	400	156	304	79	162	196	109	359	91	154
167	280	181	382	290	67	79	325	83	156	147	65	199	180	261
136	243	280	170	82	272	107	365	56	387	134	79	228	142	247
31	252	121	253	136	55	188	140	388	35	284	128	32	27	10
24	223	361	170	221	212	395	367	231	61	178	336	15	75	217
346	39	74	343	184	220	43	3	73	207	210	27	348	239	66
319	83	72	23	91	81	357	178	354	93	142	115	54	42	215
288	1	57	358	381	49	76	363	245	145	222	276	395	13	107
180	32	68	323	98	169	352	326	39	181	207	357	202	164	22
27	308	288	303	313	267	122	17	1	85	100	225	158	246	207
389	397	207	156	145	297	211	392	267	176	100	58	132	335	259
368	6	106	357	236	302	1	79	231	220	140	363	280	253	84
91	5	333	217	381	170	220	398	212	206	74	218	199	152	106
186	199	248	228	75	334	176	147	374	391	327	26	402	149	353
388	44	321	201	349	29	74	379	2	94	251	266	50	385	224
287	333	171	44	295	291	345	338	210	365	125	115	356	116	262
212	370	396	301	256	48	272	34	359	217	190	251	134	253	393
355	200	76	105	345	184	127	397	195	354	29	235	188	243	19
189	10	202	43	165	27	302	37	39	87	104	403	303	241	98
174	6	112	175	198	59	259	106	61	304	52	300	284	14	155
378	46	159	233	119	205	132	30	325	390	244	171	380	238	78
151	9	53	265	223	12	264	327	20	362	226	329	180	267	348
217	283	298	330	188	105	331	292	275	123	376	282	22	186	208
37	185	135	244	46	26	155	272	133	216	303	21	92	219	312
86	24	101	222	122	392	199	386	87	196	185	160	383	29	18
334	367	139	128	81	322	245	207	223	243	35	306	194	159	149
269	293	86	337	216	372	278	12	381	64	194	312	322	346	400
12	251	162	350	269	287	120	147	270	335	296	302	259	357	177
293	71	398	396	79	163	311	314	317	237	175	80	269	33	25
247	156	250	218	266	257	148	304	402	230	365	85	208	60	43
233	270	389	168	87	203	284	382	299	80	193	200	397	352	252
142	64	282	271	178	202	88	295	126	263	248	219	268	80	164
78	366	186	142	352	296	161	346	85	233	193	319	179	88	317
65	350	70	249	183	129	230	175	310	166	54	374	255	264	397
5	60	28	185	316	200	400	115	144	48	391	370	173	32	289
214	381	249	370	187	207	327	83	145	359	62	136	65	35	169
257	373	353	317	217	322	139	398	256	44	159	361	119	4	376
135	229	62	276	179	47	139	180	378	296	66	43	8	262	260
26	194	353	79	77	10	324	217	352	84	295	309	363	170	157
19	294	32	182	88	232	108	45	132	65	296	157	51	273	178
320	144	191	153	163	39	241	170	197	172	289	70	268	276	260
135	227	340	389	105	25	117	16	141	312	2	207	123	253	80
47	248	257	17	383	312	90	119	145	240	304	272	48	301	319
164	301	358	140	60	26	327	93	65	86	388	141	32	143	45
215	218	44	90	5	159	259	62	16	156	31	286	14	80	347
383	402	341	357	184	150	238	96	324	6	327	4	400	143	326
198	196	275	364	44	369	171	166	374	375	340	187	305	4	221
352	40	128	58	294	389	242	3	81	212	265	350	281	182	112
330	357	225	151	364	176	141	353	329	358	373	159	322	171	296
98	283	387	224	174	371	82	306	29	70	206	139	95	241	396
351	211	237	226	2	215	238	12	187	92	253	295	355	251	93
241	258	390	106	242	220	254	127	65	87	399	371	102	394	282
3	278	104	355	160	352	61	385	343	276	202	231	399	65	324
8	324	276	388	148	345	320	66	255	87	391	381	219	340	355
210	249	366	392	246	221	26	203	283	356	368	313	35	126	289
87	170	291	5	326	314	252	20	320	58	143	263	85	36	368
7	246	278	56	100	358	50	172	260	227	335	307	224	206	396
93	182	191	237	361	190	31	227	293	90	373	314	230	129	366
212	327	368	349	224	178	244	385	372	268	323	96	341	284	71
243	116	96	362	135	320	270	41	188	204	26	32	310	280	322
260	282	392	374	351	223	257	261	210	195	277	106	148	242	375
304	243	6	381	388	2	88	280	255	265	353	292	339	298	27
258	107	250	147	284	372	272	148	381	31	362	248	178	270	168
73	247	150	313	227	244	154	7	282	249	19	226	118	220	25
5	56	148	58	177	381	210	49	259	126	343	369	186	200	121
347	105	31	279	323	282	288	376	167	310	138	329	174	103	286
100	14	349	108	275	71	90	175	56	301	206	67	50	83	65
144	401	243	96	148	376	7	134	377	222	88	247	167	160	168
20	354	136	102	226	199	176	395	245	402	52	371	127	109	158
369	209	343	63	363	313	101	72	1	28	238	95	234	167	78
296	237	243	388	215	200	148	64	238	113	152	48	210	120	370
36	323	239	204	179	314	371	236	16	111	151	241	3	318	252
53	115	56	28	140	398	307	210	108	104	26	9	322	382	192
217	65	198	278	250	54	52	317	61	88	132	261	45	266	331
108	44	382	53	364	269	111	232	156	187	253	179	276	325	51
17	303	396	337	167	150	84	129	110	219	317	284	242	271	33
215	314	323	235	291	210	356	57	65	118	306	108	202	163	162
345	252	278	276	14	368	403	311	169	198	176	54	172	350	77
300	177	391	44	236	99	58	178	361	297	123	175	368	278	73
48	33	392	299	328	95	227	192	130	109	93	403	283	317	382
241	360	188	245	247	315	194	352	389	349	374	341	121	13	388
384	66	265	317	19	46	310	288	65	246	185	18	325	270	67
272	362	77	286	173	367	204	319	331	239	321	387	119	376	227
263	354	308	218	341	287	172	394	377	192	315	61	194	383	130
117	319	39	311	187	324	346	361	38	162	71	163	174	241	67
213	179	123	70	125	159	103	232	316	142	23	259	131	168	372
237	355	242	252	2	19	129	359	213	347	295	292	146	126	265
30	143	241	82	52	211	374	48	206	190	84	80	164	45	278
277	182	214	87	63	286	34	295	365	347	98	128	108	358	69
173	339	367	66	375	148	341	300	285	149	38	154	317	327	227
113	267	228	271	349	313	238	132	371	322	157	160	368	298	164
242	375	386	340	329	294	228	12	239	206	143	70	198	311	199
357	274	65	370	50	33	160	116	29	371	155	299	278	27	309
229	326	373	390	217	279	239	29	353	6	49	344	112	234	60
383	121	53	77	109	300	277	136	168	15	96	371	40	248	78
336	394	263	55	189	157	142	72	150	24	166	277	50	335	180
73	317	178	153	192	304	76	133	400	243	255	207	40	396	138
4	81	101	144	358	132	283	264	153	40	194	363	64	220	253
305	119	388	313	189	124	136	123	228	376	48	114	59	191	317
131	58	292	239	64	193	306	41	84	378	9	67	252	294	186
149	388	41	367	127	14	333	162	142	298	336	72	49	257	191
378	20	85	321	311	23	241	237	166	172	242	60	4	67	286
187	222	224	351	205	297	86	311	143	163	11	188	389	299	75
317	394	228	186	371	122	210	340	147	259	88	385	142	23	342
28	391	395	235	352	222	80	193	371	266	48	65	342	83	243
323	232	64	157	253	378	299	148	209	218	117	150	27	63	207
124	361	183	387	156	123	198	228	225	98	139	392	240	88	162
61	143	102	344	198	44	88	224	158	327	338	96	329	391	373
276	73	184	15	282	346	257	150	244	215	188	163	374	353	380
109	27	173	182	293	86	28	190	348	146	39	285	323	81	237
62	287	87	299	293	390	373	92	386	296	27	116	66	7	143
283	51	274	165	26	37	339	204	178	401	293	151	24	322	319
233	360	330	35	17	187	10	301	220	159	190	126	262	279	43
223	246	347	376	336	36	93	312	362	139	386	30	367	137	39
207	192	190	269	377	271	10	45	44	303	182	92	172	357	309
189	374	124	140	90	30	351	108	74	312	2	259	373	314	65
264	288	169	222	302	270	234	335	141	350	32	267	202	393	349
224	135	337	160	189	3	219	170	313	387	237	339	275	250	111
101	140	98	384	371	11	141	379	68	66	375	223	76	154	222
190	2	178	194	42	279	203	363	54	239	222	241	390	347	273
168	314	215	139	236	230	392	54	288	397	354	114	244	109	21
179	403	270	49	322	330	309	124	318	251	183	357	354	19	282
217	120	346	267	209	403	261	112	396	168	114	183	401	94	126
88	23	71	50	97	198	123	1	331	70	309	72	257	351	287
217	266	8	381	317	312	93	36	70	15	80	137	394	163	197
369	399	120	127	40	314	316	202	200	288	34	83	250	305	294
43	320	338	82	304	138	132	334	30	357	364	270	12	277	265
201	208	218	214	258	230	337	176	68	66	336	102	73	287	138
10	370	285	54	120	334	7	35	172	59	341	314	108	107	74
112	230	238	27	330	119	271	243	262	303	35	73	33	124	388
337	168	395	205	340	332	322	170	363	56	231	1	70	252	307
400	153	363	305	307	76	299	246	156	85	328	44	111	397	63
25	234	301	170	292	36	24	371	151	184	109	279	296	285	136
112	333	382	277	294	285	224	194	215	58	278	368	102	400	318
116	140	355	299	325	254	256	247	75	55	231	321	230	268	387
393	343	149	394	376	161	222	179	387	192	138	385	127	23	131
304	360	316	115	213	322	51	369	54	202	277	374	71	365	393
342	395	72	105	402	24	120	268	49	220	39	177	214	132	176
187	312	244	19	76	139	263	245	250	300	287	26	358	377	353
111	176	304	245	12	215	144	69	220	213	173	102	122	397	399
9	349	40	298	248	96	5	360	388	329	166	27	97	22	199
257	346	72	301	54	318	339	58	355	337	6	107	120	21	383
310	234	15	351	118	327	39	304	326	126	321	215	219	61	353
289	46	102	251	7	16	60	316	222	196	69	174	320	18	390
62	149	196	314	107	129	367	77	284	34	140	52	390	271	287
25	218	346	136	245	122	175	364	174	152	31	196	138	288	292
275	228	246	372	109	290	223	256	79	383	354	219	171	83	58
59	347	292	116	107	166	240	6	14	134	327	252	138	234	290
242	21	31	117	303	57	399	160	219	383	228	253	44	32	125
303	173	163	286	258	331	294	402	203	138	95	333	296	346	151
155	324	221	231	99	151	69	397	153	264	372	219	55	400	38
146	287	306	254	268	274	288	78	228	29	368	307	350	395	58
112	160	175	63	209	309	74	281	277	324	259	108	11	147	109
200	198	130	399	87	39	363	30	52	91	23	22	31	214	246
234	137	15	37	359	388	130	279	23	277	173	286	233	392	348
13	376	317	287	253	283	109	49	133	82	208	221	214	272	85
333	184	156	170	70	80	271	196	328	354	260	398	24	295	3
89	274	54	348	369	86	284	237	125	359	169	384	244	26	140
19	334	191	243	377	378	318	131	91	361	329	49	310	193	185
282	112	329	144	163	34	119	397	102	167	231	239	327	260	308
48	343	8	23	397	151	327	297	398	299	204	196	187	174	332
133	199	159	365	63	359	55	241	277	315	161	335	175	230	132
223	276	262	173	110	170	213	318	251	186	26	84	114	40	361
11	244	115	213	197	358	362	283	38	370	73	276	34	36	84
126	154	187	71	237	352	347	333	145	367	341	198	135	7	47
58	232	32	282	270	150	318	203	71	60	258	348	116	247	52
369	230	253	260	325	237	26	288	250	243	142	374	380	342	394
110	188	269	86	247	96	398	389	284	324	331	232	30	31	296
228	383	285	335	52	140	312	269	194	262	152	341	213	28	101
74	144	244	163	154	160	97	371	231	215	383	94	138	345	388
85	246	143	314	163	183	253	339	197	364	303	2	112	306	41
104	22	106	27	148	171	257	94	241	81	270	163	343	268	371
3	276	114	372	393	141	174	32	73	192	257	6	176	78	270
358	344	79	357	136	41	36	107	83	224	276	114	131	191	144
107	45	402	301	208	248	209	285	175	149	78	246	165	205	97
247	279	130	379	157	142	57	63	241	79	301	87	401	81	385
295	153	297	383	102	272	35	38	337	239	224	52	298	131	372
102	87	45	219	276	162	172	198	240	300	165	371	126	306	303
243	156	385	345	391	252	3	231	52	32	10	268	75	208	358
330	219	169	276	170	188	309	15	217	323	18	109	293	171	87
205	388	198	196	255	223	188	309	90	135	52	76	197	376	50
236	269	302	361	402	157	209	70	85	81	113	301	208	227	274
222	271	39	6	128	137	231	203	365	205	307	299	71	145	395
152	225	4	63	168	210	235	172	155	173	27	305	389	258	382
208	190	10	146	167	177	320	275	114	31	349	126	374	255	375
208	41	140	272	336	226	303	300	31	202	346	96	57	139	344
222	95	195	318	362	297	327	346	117	120	214	66	355	128	370
303	37	82	241	36	235	153	204	75	385	104	3	96	326	278
77	112	325	197	36	87	268	296	280	74	395	57	82	399	115
308	168	15	166	174	48	10	45	190	51	30	206	384	373	223
322	133	286	142	149	371	278	88	343	216	227	136	290	365	332
346	33	246	157	306	106	149	137	129	108	373	206	226	371	255
338	370	237	68	345	150	403	90	342	100	165	132	318	13	393
29	49	128	238	385	108	86	131	284	277	97	258	100	251	8
198	373	135	180	331	352	5	258	343	250	364	297	186	380	192
136	316	10	219	12	140	191	375	182	323	110	68	354	254	96
352	312	20	268	285	158	7	196	308	174	380	117	48	141	347
263	309	268	322	339	86	233	368	2	299	351	258	296	355	158
329	289	181	258	338	187	332	29	277	57	255	342	253	269	40
373	258	2	219	369	38	51	387	71	192	46	202	361	142	145
331	269	309	30	84	44	201	233	125	8	181	10	148	200	214
397	156	347	231	89	308	145	380	207	300	173	28	33	246	373
325	115	366	235	310	202	23	403	275	48	230	324	285	196	301
267	1	303	233	177	14	216	17	206	191	354	337	227	189	157
389	69	44	12	32	278	400	42	261	209	187	216	95	277	113
130	63	259	6	11	375	46	73	151	385	185	172	177	119	386
143	194	310	22	212	242	220	195	311	399	92	258	188	272	196
277	44	176	161	154	52	211	41	308	117	53	118	74	11	351
369	178	109	378	67	162	342	349	306	111	255	47	108	373	395
254	313	380	223	353	358	161	129	337	156	274	165	325	228	107
51	402	387	74	278	325	68	99	271	147	374	62	375	288	305
319	105	313	3	321	152	140	383	71	369	263	357	7	287	392
381	276	158	342	319	36	235	53	322	350	64	47	96	269	399
363	22	324	6	220	339	154	63	223	370	236	128	76	114	275
354	167	133	44	297	141	392	2	115	241	229	140	381	128	247
368	318	283	332	285	112	295	223	149	115	54	138	181	308	21
150	186	232	395	104	28	88	9	126	246	80	348	233	304	107
326	401	37	5	316	345	100	306	7	285	172	325	126	399	207
354	119	142	127	282	280	9	346	93	156	363	238	290	278	128
353	164	182	251	214	209	325	189	86	269	347	47	264	203	315
115	160	205	179	278	101	90	1	81	10	193	140	60	301	318
32	346	130	31	339	291	180	18	121	210	393	81	271	123	328
38	315	198	125	391	274	243	35	239	217	193	397	186	273	46
324	88	222	137	33	395	198	241	172	119	29	169	37	349	231
256	298	328	134	233	45	89	350	401	331	269	187	22	245	81
272	212	317	193	126	68	167	21	373	332	104	394	319	344	41
377	128	279	312	274	213	151	245	19	88	363	164	133	301	238
287	138	351	344	37	276	11	203	130	58	387	94	97	279	24
372	91	106	126	277	34	160	234	398	305	139	205	202	183	113
291	338	395	188	245	68	298	389	126	146	194	2	336	159	67
336	392	223	98	13	159	108	293	275	312	58	54	61	324	370
378	151	120	101	140	31	395	79	376	301	212	224	240	169	292
147	220	356	157	152	345	323	178	255	328	286	9	319	320	155
403	283	84	286	74	388	353	387	167	203	246	159	329	131	276
263	217	300	313	70	36	79	69	238	296	120	148	202	179	1
278	171	364	220	337	327	375	158	234	69	29	120	340	61	244
387	311	170	268	216	361	115	83	23	306	287	7	67	169	365
154	246	189	226	214	91	27	371	228	279	34	250	39	163	379
27	387	267	243	362	184	158	90	297	367	96	44	125	218	238
350	168	212	220	37	267	156	337	108	75	270	134	382	284	264
345	176	258	370	267	12	84	200	55	199	302	141	248	173	33
336	291	102	310	75	273	96	163	286	60	1	355	341	313	63
320	92	202	336	48	316	6	11	304	253	79	160	89	200	213
340	98	280	170	166	367	177	5	202	153	127	208	193	288	335
9	97	257	76	43	219	389	117	336	30	342	74	63	154	368
50	261	136	358	318	173	383	336	21	332	357	31	165	255	286
266	370	146	353	323	57	400	27	223	138	362	238	175	104	249
145	156	377	28	91	82	283	119	154	259	93	193	306	359	256
224	386	257	201	293	154	95	144	250	255	171	326	396	93	287
296	290	72	318	337	304	76	253	16	3	213	233	247	41	102
169	274	133	344	55	381	78	393	399	265	290	394	156	152	188
268	390	127	18	2	230	162	66	308	274	328	59	361	199	212
291	3	331	175	271	123	279	227	100	358	128	182	79	311	16
74	253	98	36	82	182	259	304	252	242	224	312	243	223	384
283	121	278	34	272	188	353	113	385	119	223	221	142	392	255
349	130	132	296	22	154	58	34	361	350	68	142	181	279	295
183	216	218	247	233	199	367	188	372	262	364	59	251	343	310
201	347	326	259	320	373	46	24	58	279	216	77	108	225	193
42	126	325	14	256	51	161	154	369	171	234	52	16	212	310
90	280	3	103	343	379	274	230	377	129	314	23	184	76	316
400	335	45	138	330	8	264	388	296	364	23	399	158	40	344
220	176	32	104	198	398	341	265	235	214	185	294	31	307	200
3	121	336	126	285	14	169	185	236	272	63	334	251	161	201
72	50	210	301	302	287	377	189	333	233	322	69	157	307	120
53	102	206	243	139	122	37	348	313	260	271	362	263	227	213
32	1	207	169	317	35	113	401	355	211	108	376	96	148	224
152	286	335	391	174	303	398	88	50	343	41	161	350	10	380
165	325	110	270	146	117	378	154	277	135	153	147	299	214	334
360	67	267	168	357	71	157	141	122	396	239	23	40	80	119
66	28	284	226	67	124	110	247	238	36	330	322	394	115	45
36	89	39	136	182	80	146	133	385	24	192	224	18	346	145
15	311	197	324	234	201	251	323	62	152	117	228	33	61	48
67	153	37	251	88	29	387	401	110	184	125	375	367	238	128
74	380	210	64	116	306	377	383	346	228	55	70	334	42	217
114	251	385	106	316	221	9	11	246	240	190	58	243	175	370
104	261	206	303	25	19	372	309	125	255	253	23	141	252	237
10	248	349	269	20	77	115	56	166	78	123	137	103	226	39
378	120	205	128	337	313	403	52	193	243	235	183	50	40	38
382	116	105	188	344	215	379	276	8	127	287	298	172	284	370
186	146	341	148	177	384	326	291	355	147	366	37	217	201	391
240	112	70	169	163	356	9	150	393	161	277	162	398	42	123
197	37	215	139	187	113	101	133	388	78	243	247	315	332	148
386	248	18	293	395	134	203	358	205	125	323	32	366	288	347
371	221	299	57	168	46	163	388	238	365	29	391	44	211	392
226	84	161	170	212	327	319	80	272	60	328	151	324	357	215
124	382	291	265	363	319	61	16	52	74	17	118	45	295	384
145	288	207	296	168	289	32	307	79	333	157	248	210	367	270
227	209	46	205	75	337	266	131	254	290	347	143	39	400	47
248	287	12	212	120	37	59	328	324	265	158	40	217	297	25
82	43	254	55	305	330	130	340	264	189	341	210	50	145	353
351	164	83	74	398	100	366	251	155	131	348	268	61	47	374
69	181	401	328	391	257	364	339	85	63	398	23	338	293	18
392	98	7	187	3	270	232	67	377	352	301	183	319	59	37
99	352	70	30	376	19	112	264	325	1	69	156	278	33	343
403	238	279	29	139	230	310	53	106	185	143	330	217	33	194
2	315	372	153	116	57	26	321	105	326	44	70	84	40	216
366	361	315	152	246	125	356	187	202	238	69	96	19	54	252
209	302	313	370	284	195	118	247	199	124	103	100	179	157	375
139	74	253	288	94	206	87	50	244	342	384	110	127	193	270
24	109	98	62	49	268	379	302	200	153	45	70	246	260	312
66	349	224	109	394	119	172	384	268	379	63	310	327	112	263
248	286	262	18	367	290	102	65	142	74	122	225	372	169	79
286	210	42	283	324	211	236	366	254	275	316	279	296	33	195
117	381	55	307	98	164	70	239	153	25	210	393	285	66	127
112	329	39	232	296	36	279	75	222	399	71	371	177	348	268
339	364	220	54	207	391	229	393	83	111	373	196	87	95	25
75	5	173	17	326	21	256	263	378	150	283	355	179	159	176
263	311	134	32	392	353	71	215	110	102	279	7	324	397	68
43	81	280	203	330	206	62	392	99	159	153	241	19	213	224
81	237	308	116	232	10	121	253	266	355	222	216	97	110	214
83	385	231	293	376	237	322	109	145	401	180	304	399	366	60
354	303	385	98	269	275	196	120	63	388	134	69	276	297	381
72	35	261	238	289	342	22	362	236	199	213	271	14	331	61
219	197	203	328	89	303	372	116	180	77	306	194	71	330	131
181	186	244	10	188	143	60	159	238	5	161	3	177	311	334
346	295	298	111	151	227	174	352	273	233	163	98	16	394	353
167	10	306	263	183	204	62	162	368	229	120	331	170	65	343
363	300	307	117	66	152	190	48	110	202	20	69	169	314	276
223	369	285	400	392	134	28	156	253	202	94	72	338	34	103
143	180	296	256	37	157	266	311	280	108	330	279	207	367	368
319	144	100	3	88	332	304	376	218	110	396	373	369	312	12
352	395	87	363	30	183	286	233	208	125	97	389	68	196	8
357	385	296	140	315	11	248	253	292	329	358	337	251	34	211
271	45	21	331	341	121	237	201	293	359	88	275	303	312	240
152	79	181	291	308	367	134	313	38	143	127	139	374	212	194
266	208	367	182	331	342	308	130	325	174	198	249	11	372	200
268	164	156	82	257	363	28	180	319	267	313	289	183	99	40
237	398	212	135	176	52	18	257	65	139	114	35	13	250	264
145	174	138	347	73	157	199	148	263	54	9	209	70	10	285
154	90	226	77	276	382	122	51	52	278	369	228	283	5	251
235	149	121	36	293	152	399	190	349	40	35	93	397	279	163
389	284	154	209	273	67	139	347	156	217	246	288	185	57	127
216	162	283	242	91	89	326	19	23	332	322	35	338	251	150
84	205	199	361	206	38	81	21	217	216	375	112	310	311	66
59	251	400	260	338	197	290	183	306	24	131	145	357	5	147
368	237	90	253	135	64	235	326	178	370	180	14	324	314	343
99	7	312	246	240	316	57	289	366	37	226	223	257	271	344
278	397	181	379	158	260	250	353	20	394	309	402	166	345	271
285	347	3	213	316	91	193	403	164	225	110	52	321	289	72
280	135	69	2	159	137	216	13	343	237	295	362	342	335	186
390	120	247	112	93	336	129	14	326	328	195	197	81	179	31
98	49	32	88	62	245	83	337	319	54	279	127	355	191	38
345	229	218	337	266	129	250	295	77	70	196	191	387	181	264
297	130	208	75	19	365	85	110	286	355	39	318	284	162	316
374	46	321	59	376	246	297	129	30	378	11	403	262	162	78
214	291	137	301	290	128	57	285	264	109	236	300	117	297	193
75	224	362	22	281	109	376	57	136	4	203	107	120	233	278
18	2	375	350	318	247	374	212	307	209	309	54	322	272	153
175	375	368	258	399	65	116	237	113	66	263	193	398	332	138
66	122	301	143	290	357	205	327	18	173	10	41	120	294	270
128	183	151	331	199	58	97	254	401	107	275	112	196	340	179
117	72	252	156	34	346	157	329	137	314	269	121	151	370	264
317	386	389	131	81	42	133	238	401	15	54	281	372	271	166
157	1	63	162	52	321	333	239	347	134	170	190	88	168	102
121	176	364	59	159	144	160	63	335	222	201	308	197	154	214
19	2	184	252	174	56	91	197	200	85	120	374	285	384	284
143	382	163	318	255	115	224	176	239	214	319	35	300	264	195
386	157	212	133	273	263	298	254	121	202	367	190	47	156	351
67	209	234	206	218	50	131	314	238	139	228	44	180	255	403
219	336	197	132	47	101	298	338	77	150	255	67	209	181	235
62	41	214	268	38	69	30	91	306	382	257	291	50	34	153
23	13	35	222	14	236	29	55	231	63	301	123	110	39	266
367	281	168	251	130	183	398	279	332	61	304	55	143	285	177
344	350	174	254	293	34	212	55	303	135	284	273	307	133	5
118	194	69	277	356	403	207	112	262	228	255	252	16	1	48
293	187	45	334	233	13	93	256	12	43	181	368	285	80	262
353	204	41	239	329	20	269	388	179	323	26	400	339	74	151
263	325	233	392	11	75	333	316	296	21	327	259	322	139	81
118	315	40	180	128	55	333	93	146	189	351	304	68	310	373
52	74	63	297	269	71	349	213	97	333	244	345	189	373	311
177	282	284	168	25	288	394	255	347	243	114	131	6	166	100
176	205	316	207	359	135	328	363	270	362	269	21	393	91	249
34	42	397	372	361	212	220	199	21	239	321	364	301	373	317
84	142	177	156	82	73	364	305	304	98	322	69	303	318	285
138	259	77	309	346	12	133	242	55	252	225	329	348	112	323
159	13	264	203	327	364	376	18	194	178	373	137	307	231	365
68	383	253	395	234	85	49	303	86	214	347	119	327	282	194
80	321	360	70	267	263	300	193	93	100	372	280	106	102	157
331	202	399	344	23	250	65	46	246	357	42	274	6	303	367
240	316	403	212	84	173	322	194	134	351	140	15	36	176	100
176	343	208	335	249	327	365	85	336	64	91	250	187	257	267
118	9	246	113	296	168	8	352	267	148	76	312	381	288	159
66	258	129	43	359	34	245	373	4	35	312	159	360	98	389
285	65	160	110	97	81	121	278	141	250	401	238	346	393	220
225	307	152	2	102	55	264	97	132	402	176	241	100	137	188
3	381	212	193	399	343	82	315	328	95	319	398	389	137	101
318	271	366	149	48	96	187	232	370	101	251	18	242	378	339
42	240	104	339	246	136	245	288	44	58	198	213	76	175	378
171	245	343	175	332	276	103	61	114	402	248	307	290	299	261
267	192	257	57	180	391	269	364	117	376	230	143	177	196	159
95	195	120	381	73	379	386	41	258	30	253	105	21	35	192
225	86	100	181	377	338	218	156	157	183	303	22	207	327	248
286	362	368	264	83	12	95	124	38	380	284	98	49	116	327
342	345	72	70	268	379	297	220	348	44	384	156	303	193	95
385	256	323	176	77	378	68	149	232	190	34	201	63	139	332
372	154	9	45	232	222	362	38	70	286	102	398	263	206	288
327	48	371	205	243	225	197	13	226	36	394	127	167	265	338
402	62	70	179	281	154	56	157	187	205	184	117	302	74	22
215	66	248	392	368	330	307	258	250	51	10	102	264	262	223
263	318	65	287	80	298	363	201	69	96	340	254	295	106	119
139	382	23	399	366	387	18	167	285	271	391	156	3	166	2
106	31	79	334	82	91	83	297	322	299	311	39	11	374	215
361	248	258	278	315	226	49	158	253	300	266	286	288	312	389
240	197	245	130	143	294	390	233	49	70	25	207	94	99	40
246	82	180	28	31	255	270	37	233	89	80	317	228	183	92
361	332	331	330	45	291	82	243	81	383	188	371	348	192	46
397	73	200	305	151	74	365	376	396	44	1	154	317	291	147
371	40	285	145	250	344	361	377	128	389	176	95	376	7	126
